㴙㴙唸,TSHAP8 TSHAP8 LIAM7,2
㴙㴙唸,Tshap8 tshap8 liam7,2
㴙㴙唸,tshap8 tshap8 liam7,2
㴙㴙津,TSHAP8 TSHAP8 TIN1,4
㴙㴙津,Tshap8 tshap8 tin1,4
㴙㴙津,tshap8 tshap8 tin1,4
㴙㴙流,TSHAP8 TSHAP8 LAU5,2
㴙㴙流,Tshap8 tshap8 lau5,2
㴙㴙流,tshap8 tshap8 lau5,2
㴙㴙滴,TSHAP8 TSHAP8 TIH4,25
㴙㴙滴,Tshap8 tshap8 tih4,25
㴙㴙滴,tshap8 tshap8 tih4,25
㴙㴙滴滴,TSHAP8 TSHAP8 TIH4 TIH4,2
㴙㴙滴滴,Tshap8 tshap8 tih4 tih4,2
㴙㴙滴滴,tshap8 tshap8 tih4 tih4,2
㴙㴙落,TSHAP8 TSHAP8 LOH8,3
㴙㴙落,Tshap8 tshap8 loh8,3
㴙㴙落,tshap8 tshap8 loh8,3
㵟,BI5,1
㵟,Bi5,1
㵟,bi5,1
㷈,AP4,1
㷈,Ap4,1
㷈,IAP8,1
㷈,Iap8,1
㷈,ap4,1
㷈,iap8,1
㷟,THUI1,1
㷟,Thui1,1
㷟,thui1,1
㷮,TSAU1,1
㷮,Tsau1,1
㷮,tsau1,1
㸼,HONG1,1
㸼,Hong1,1
㸼,hong1,1
㻬,THU1,1
㻬,Thu1,1
㻬,thu1,1
㻾,IONG1,1
㻾,Iong1,1
㻾,iong1,1
㽎,SIM3,14
㽎,Sim3,14
㽎,sim3,14
㽘,KONG1,1
㽘,Kong1,1
㽘,kong1,1
㾀,KHIAP4,2
㾀,Khiap4,2
㾀,khiap4,2
㾀勢,KHIAP4 SI3,4
㾀勢,Khiap4 si3,4
㾀勢,khiap4 si3,4
㾀勢命,KHIAP4 SI3 MIA7,2
㾀勢命,Khiap4 si3 mia7,2
㾀勢命,khiap4 si3 mia7,2
㾓,IAN1,1
㾓,Ian1,1
㾓,ian1,1
㾠,KONG5,1
㾠,Kong5,1
㾠,kong5,1
㾽,THUI2,1
㾽,Thui2,1
㾽,thui2,1
䀐,SIAM1,7
䀐,Siam1,7
䀐,siam1,7
䀐著,SIAM1 TIOH8,2
䀐著,Siam1 tioh8,2
䀐著,siam1 tioh8,2
䀠,KU1,1
䀠,Ku1,1
䀠,ku1,1
䀱,HONG1,1
䀱,Hong1,1
䀱,hong1,1
䁱,AU1,1
䁱,Au1,1
䁱,au1,1
䂫,HONG5,1
䂫,Hong5,1
䂫,hong5,1
䃔,HONG5,1
䃔,Hong5,1
䃔,hong5,1
䄃,IONG1,1
䄃,Iong1,1
䄃,iong1,1
䆀,BAI2,316
䆀,Bai2,316
䆀,bai2,316
䆀TSI-TSI,BAI2 TSI1 TSI1,2
䆀tsi-tsi,Bai2 tsi1 tsi1,2
䆀tsi-tsi,bai2 tsi1 tsi1,2
䆀䆀,BAI2 BAI2,4
䆀䆀,Bai2 bai2,4
䆀䆀,bai2 bai2,4
䆀手,BAI2 TSHIU2,2
䆀手,Bai2 tshiu2,2
䆀手,bai2 tshiu2,2
䆀手仔拐,BAI2 TSHIU2 A2 KUAI7,2
䆀手仔拐,Bai2 tshiu2 a2 kuai7,2
䆀手仔拐,bai2 tshiu2 a2 kuai7,2
䆀才,BAI2 TSAI5,6
䆀才,BAI2 TSHAI5,2
䆀才,Bai2 tsai5,6
䆀才,Bai2 tshai5,2
䆀才,bai2 tsai5,6
䆀才,bai2 tshai5,2
䆀指,BAI2 TSAINN2,4
䆀指,Bai2 tsainn2,4
䆀指,bai2 tsainn2,4
䆀氣,BAI2 KHUI3,4
䆀氣,Bai2 khui3,4
䆀氣,bai2 khui3,4
䆀猴,BAI2 KAU5,5
䆀猴,Bai2 kau5,5
䆀猴,bai2 kau5,5
䆀猴猴,BAI2 KAU5 KAU5,6
䆀猴猴,Bai2 kau5 kau5,6
䆀猴猴,bai2 kau5 kau5,6
䆀空,BAI2 KHANG1,2
䆀空,Bai2 khang1,2
䆀空,bai2 khang1,2
䆀糊糊,BAI2 KOO5 KOO5,2
䆀糊糊,Bai2 koo5 koo5,2
䆀糊糊,bai2 koo5 koo5,2
䆀豆仔,BAI2 TAU7 A2,2
䆀豆仔,Bai2 tau7 a2,2
䆀豆仔,bai2 tau7 a2,2
䆖,HONG5,1
䆖,Hong5,1
䆖,hong5,1
䈄,HAM1,2
䈄,Ham1,2
䈄,ham1,2
䉺,HONG5,1
䉺,Hong5,1
䉺,hong5,1
䊅,BING5,1
䊅,Bing5,1
䊅,bing5,1
䊕,KIAN7,1
䊕,Kian7,1
䊕,kian7,1
䊘,TSIU7,1
䊘,Tsiu7,1
䊘,tsiu7,1
䊺,HING5,1
䊺,Hing5,1
䊺,hing5,1
䌙,HONG2,1
䌙,HONG3,1
䌙,Hong2,1
䌙,Hong3,1
䌙,hong2,1
䌙,hong3,1
䐁,TOK4,1
䐁,Tok4,1
䐁,tok4,1
䐈,TSIT4,1
䐈,Tsit4,1
䐈,tsit4,1
䑆,IONG2,1
䑆,Iong2,1
䑆,iong2,1
䑡,TSHA1,1
䑡,Tsha1,1
䑡,tsha1,1
䓊,GOO5,1
䓊,Goo5,1
䓊,goo5,1
䓮,BAU5,1
䓮,Bau5,1
䓮,bau5,1
䔰,HU3,1
䔰,Hu3,1
䔰,hu3,1
䕳,BI5,1
䕳,Bi5,1
䕳,bi5,1
䖙,THE1,21
䖙,THENN1,6
䖙,The1,21
䖙,Thenn1,6
